	Strain	Plasmid	BioSample	Organism
NZ_CP053182.1	FMAMOB6	unnamed	SAMN13955257	Enterococcus faecalis
NZ_CP060797.1	EF-2001	pEFSP1	SAMN15871855	Enterococcus faecalis
NZ_CP060798.1	EF-2001	pEFSP2	SAMN15871855	Enterococcus faecalis
NZ_CP063981.1	AR_0780	pAR_0780	SAMN11953790	Enterococcus faecalis
NZ_CP065785.1	18-243	p18-243_1	SAMN16988090	Enterococcus faecalis
NZ_CP065786.1	18-243	p18-243_2	SAMN16988090	Enterococcus faecalis
NZ_CP068250.1	T90-1	pT90-1	SAMN17169733	Enterococcus faecalis
NZ_CP069186.1	L11	pL11-A	SAMN17615183	Enterococcus faecalis
NZ_CP069187.1	L11	pL11	SAMN17615183	Enterococcus faecalis
NZ_CP071174.1	L16	pL16-A	SAMN18063035	Enterococcus faecalis
NZ_CP071177.1	L18	pL18	SAMN18063036	Enterococcus faecalis
NZ_CP071186.1	L14	pL14-A	SAMN12710425	Enterococcus faecalis
NZ_CP072508.1	L8	pL8	SAMN12272102	Enterococcus faecalis
NZ_CP072510.1	L9	pL9-C	SAMN05990127	Enterococcus faecalis
NZ_CP072512.1	L12	pL12-B	SAMN06042544	Enterococcus faecalis
NZ_CP073087.1	L21	pL21-A	SAMN18063042	Enterococcus faecalis
NZ_CP073088.1	L21	pL21	SAMN18063042	Enterococcus faecalis
NZ_CP075605.1	1207/14	p1207_1	SAMN19292310	Enterococcus faecalis
NZ_CP075606.1	1207/14	p1207_2	SAMN19292310	Enterococcus faecalis
NZ_CP075607.1	1207/14	p1207_3	SAMN19292310	Enterococcus faecalis
NZ_CP075608.1	1207/14	p1207_4	SAMN19292310	Enterococcus faecalis
NZ_CP075609.1	1207/14	p1207_5	SAMN19292310	Enterococcus faecalis
NZ_CP075610.1	1207/14	p1207_6	SAMN19292310	Enterococcus faecalis
NZ_CP076489.1	UAMS_EL56	pUAMSEL1	SAMN19573781	Enterococcus faecalis
NZ_CP076490.1	UAMS_EL56	pUAMSEL2	SAMN19573781	Enterococcus faecalis
NZ_CP076491.1	UAMS_EL56	pUAMSEL3	SAMN19573781	Enterococcus faecalis
NZ_CP076492.1	UAMS_EL56	pUAMSEL4	SAMN19573781	Enterococcus faecalis
NZ_CP076494.1	UAMS_EL54	pUAMSEL1	SAMN19573780	Enterococcus faecalis
NZ_CP076495.1	UAMS_EL54	pUAMSEL2	SAMN19573780	Enterococcus faecalis
NZ_CP076496.1	UAMS_EL54	pUAMSEL3	SAMN19573780	Enterococcus faecalis
NZ_CP076497.1	UAMS_EL54	pUAMSEL4	SAMN19573780	Enterococcus faecalis
NZ_CP076499.1	UAMS_EL53	pUAMSEL1	SAMN19573779	Enterococcus faecalis
NZ_CP076500.1	UAMS_EL53	pUAMSEL2	SAMN19573779	Enterococcus faecalis
NZ_CP076501.1	UAMS_EL53	pUAMSEL3	SAMN19573779	Enterococcus faecalis
NZ_CP076502.1	UAMS_EL53	pUAMSEL4	SAMN19573779	Enterococcus faecalis
NZ_CP078016.1	SY-1	pSY-1-optrA	SAMN19958212	Enterococcus faecalis
NZ_CP078163.1	NS2	pNS2A	SAMN20059107	Enterococcus faecalis
NZ_CP081506.1	E006xJH2-2-TC1	pE006-TC-121	SAMN20825296	Enterococcus faecalis
NZ_CP082232.1	E006	pE006-101	SAMN20824245	Enterococcus faecalis
NZ_CP082233.1	E006	pE006-19	SAMN20824245	Enterococcus faecalis
NZ_CP085290.1	EFS17	pEFS17_1	SAMN22349649	Enterococcus faecalis
NZ_CP085292.1	EFS36	pEFS36_1	SAMN22349650	Enterococcus faecalis
NZ_CP085293.1	EFS36	pEFS36_2	SAMN22349650	Enterococcus faecalis
NZ_CP085295.1	EFS108	pEFS108_1	SAMN22349651	Enterococcus faecalis
NZ_CP085296.1	EFS108	pEFS108_2	SAMN22349651	Enterococcus faecalis
NZ_CP085297.1	EFS108	pEFS108_3	SAMN22349651	Enterococcus faecalis
NZ_CP085298.1	EFS108	pEFS108_4	SAMN22349651	Enterococcus faecalis
NZ_CP085299.1	EFS108	pEFS108_5	SAMN22349651	Enterococcus faecalis
NZ_CP086559.1	E512	pE512	SAMN22929436	Enterococcus faecalis
NZ_CP086561.1	E509	pE509-1	SAMN22929586	Enterococcus faecalis
NZ_CP086562.1	E509	pE509-2	SAMN22929586	Enterococcus faecalis
NZ_CP086563.1	E509	pE509-3	SAMN22929586	Enterococcus faecalis
NZ_CP086565.1	E512-TC1	pE512-TC1	SAMN22929935	Enterococcus faecalis
NZ_CP086567.1	E512-TC2	pE512-TC2	SAMN22929993	Enterococcus faecalis
NZ_CP086593.1	Fac74	pFac74-1	SAMN22965540	Enterococcus faecalis
NZ_CP088199.1	S11-6	pS11-6-a	SAMN23424485	Enterococcus faecalis
NZ_CP088201.1	S39-4	pS39-4-a	SAMN23424484	Enterococcus faecalis
NZ_CP088202.1	S39-4	pS39-4-b	SAMN23424484	Enterococcus faecalis
NZ_CP090559.1	PCH555	unnamed1	SAMN24600170	Enterococcus faecalis
NZ_CP091197.1	UK045	pUK045_1	SAMN25117697	Enterococcus faecalis
NZ_CP091199.1	UK045	pUK045_2	SAMN25117697	Enterococcus faecalis
NZ_CP091200.1	UK045	pUK045_3	SAMN25117697	Enterococcus faecalis
NZ_CP091228.1	661	p661-a	SAMN23424737	Enterococcus faecalis
NZ_CP091229.1	661	p661-b	SAMN23424737	Enterococcus faecalis
NZ_CP091230.1	661	p661-c	SAMN23424737	Enterococcus faecalis
NZ_CP091232.1	732	p732-a	SAMN23424736	Enterococcus faecalis
NZ_CP091233.1	732	p732-b	SAMN23424736	Enterococcus faecalis
NZ_CP091234.1	732	p732-c	SAMN23424736	Enterococcus faecalis
NZ_CP091236.1	705	p705-a	SAMN23424734	Enterococcus faecalis
NZ_CP091238.1	1521	p1521-a	SAMN23424733	Enterococcus faecalis
NZ_CP091239.1	1521	p1521-b	SAMN23424733	Enterococcus faecalis
NZ_CP091885.1	152	p1	SAMN25249822	Enterococcus faecalis
NZ_CP091887.1	143-1	p1	SAMN25249821	Enterococcus faecalis
NZ_CP091888.1	143-1	p2	SAMN25249821	Enterococcus faecalis
NZ_CP091890.1	142-1	p1	SAMN25249820	Enterococcus faecalis
NZ_CP091891.1	142-1	p2	SAMN25249820	Enterococcus faecalis
NZ_CP091893.1	133-1	p1	SAMN25249819	Enterococcus faecalis
NZ_CP091894.1	133-1	p2	SAMN25249819	Enterococcus faecalis
NZ_CP091896.1	119-2	p1	SAMN25249818	Enterococcus faecalis
NZ_CP091898.1	119-1	p1	SAMN25249817	Enterococcus faecalis
NZ_CP091900.1	101-1	p1	SAMN25249816	Enterococcus faecalis
NZ_CP091902.1	59	p1	SAMN25249814	Enterococcus faecalis
NZ_CP091903.1	59	p2	SAMN25249814	Enterococcus faecalis
NZ_CP091905.1	43-2	p1	SAMN25249813	Enterococcus faecalis
NZ_CP091907.1	2-1	p1	SAMN25249812	Enterococcus faecalis
NZ_CP092575.1	VSE-WC032	unnamed	SAMN26026625	Enterococcus faecalis
NZ_CP092577.1	VRE-WC031	unnamed1	SAMN26026624	Enterococcus faecalis
NZ_CP092578.1	VRE-WC031	unnamed2	SAMN26026624	Enterococcus faecalis
NZ_CP092579.1	VRE-WC031	unnamed3	SAMN26026624	Enterococcus faecalis
NZ_CP092580.1	VRE-WC031	unnamed4	SAMN26026624	Enterococcus faecalis
NZ_CP092908.1	LJX	unnamed1	SAMN26281488	Enterococcus faecalis
NZ_CP092909.1	LJX	unnamed2	SAMN26281488	Enterococcus faecalis
NZ_CP092910.1	LJX	unnamed3	SAMN26281488	Enterococcus faecalis
NZ_CP093958.1	NY13321	pNY13321	SAMN26754979	Enterococcus faecalis
NZ_CP097003.1	LS06-1	pLS06-1-a	SAMN28025471	Enterococcus faecalis
NZ_CP097005.1	LS05-2	pLS05-2-a	SAMN28025470	Enterococcus faecalis
NZ_CP097007.1	LS05-1	pLS05-1-a	SAMN28025469	Enterococcus faecalis
NZ_CP097009.1	AT50	pAT50-a	SAMN28025468	Enterococcus faecalis
NZ_CP097011.1	AT48	pAT48-a	SAMN28025466	Enterococcus faecalis
NZ_CP097012.1	AT48	pAT48-b	SAMN28025466	Enterococcus faecalis
NZ_CP097013.1	AT48	pAT48-c	SAMN28025466	Enterococcus faecalis
NZ_CP097021.1	AT46a	pAT46a-a	SAMN28025463	Enterococcus faecalis
NZ_CP097032.1	AT41	pAT41-a	SAMN28025459	Enterococcus faecalis
NZ_CP097033.1	AT41	pAT41-b	SAMN28025459	Enterococcus faecalis
NZ_CP097035.1	AT40b	pAT40b-a	SAMN28025458	Enterococcus faecalis
NZ_CP097036.1	AT40b	pAT40b-b	SAMN28025458	Enterococcus faecalis
NZ_CP097037.1	AT40b	pAT40b-c	SAMN28025458	Enterococcus faecalis
NZ_CP097039.1	AT39	pAT39-a	SAMN28025456	Enterococcus faecalis
NZ_CP097040.1	AT39	pAT39-b	SAMN28025456	Enterococcus faecalis
NZ_CP097041.1	AT39	pAT39-c	SAMN28025456	Enterococcus faecalis
NZ_CP097043.1	AT34	pAT34-a	SAMN28025455	Enterococcus faecalis
NZ_CP097047.1	AT29	pAT29-a	SAMN28025452	Enterococcus faecalis
NZ_CP097049.1	AT22	pAT22-a	SAMN28025451	Enterococcus faecalis
NZ_CP097050.1	AT22	pAT22-b	SAMN28025451	Enterococcus faecalis
NZ_CP097057.1	AT09	pAT09-a	SAMN28025448	Enterococcus faecalis
NZ_CP097058.1	AT09	pAT09-b	SAMN28025448	Enterococcus faecalis
NZ_CP097060.1	AT04	pAT04-a	SAMN28025447	Enterococcus faecalis
NZ_CP097067.1	AT49a	pAT49a-a	SAMN28025467	Enterococcus faecalis
NZ_CP097068.1	AT49a	pAT49a-b	SAMN28025467	Enterococcus faecalis
NZ_CP097070.1	AT40a	pAT40a-a	SAMN28025457	Enterococcus faecalis
NZ_CP097071.1	AT40a	pAT40a-b	SAMN28025457	Enterococcus faecalis
NZ_CP098026.1	QZ076	pQZ076-1	SAMN28677694	Enterococcus faecalis
NZ_CP098027.1	QZ076	pQZ076-2	SAMN28677694	Enterococcus faecalis
NZ_CP098028.1	QZ076	pQZ076-3	SAMN28677694	Enterococcus faecalis
NZ_CP098029.1	QZ076	pQZ076-4	SAMN28677694	Enterococcus faecalis
NZ_CP098419.1	CQ025	pCQ025-1	SAMN28677770	Enterococcus faecalis
NZ_CP098420.1	CQ025	pCQ025-2	SAMN28677770	Enterococcus faecalis
NZ_CP098421.1	CQ025	pCQ025-3	SAMN28677770	Enterococcus faecalis
NZ_CP098422.1	CQ025	pCQ025-4	SAMN28677770	Enterococcus faecalis
NZ_CP098744.1	M9	pEFM9-1	SAMN28891356	Enterococcus faecalis
NZ_CP098745.1	M9	pEFM9-2	SAMN28891356	Enterococcus faecalis
NZ_CP098746.1	M9	pEFM9-3	SAMN28891356	Enterococcus faecalis
NZ_CP102066.1	JF3A-223	pJF3A-223-2	SAMN30011706	Enterococcus faecalis
NZ_CP102067.1	JF3A-223	pJF3A-223-3	SAMN30011706	Enterococcus faecalis
NZ_CP102068.1	JF3A-223	pJF3A-223-4	SAMN30011706	Enterococcus faecalis
NZ_CP102069.1	JF3A-223	pJF3A-223-5	SAMN30011706	Enterococcus faecalis
NZ_CP102071.1	JF3A-4253	pJF3A-4253-2	SAMN30011847	Enterococcus faecalis
NZ_CP102072.1	JF3A-4253	pJF3A-4253-3	SAMN30011847	Enterococcus faecalis
NZ_CP102073.1	JF3A-4253	pJF3A-4253-4	SAMN30011847	Enterococcus faecalis
NZ_CP102074.1	JF3A-4253	pJF3A-4253-5	SAMN30011847	Enterococcus faecalis
NZ_CP102075.1	JF3A-4253	pJF3A-4253-6	SAMN30011847	Enterococcus faecalis
NZ_CP102076.1	JF3A-4253	pJF3A-4253-7	SAMN30011847	Enterococcus faecalis
NZ_CP103862.1	SJ82	unnamed1	SAMN30551391	Enterococcus faecalis
NZ_CP031384.1	LUH	pLUH6011-1	SAMN09244924	Acinetobacter baumannii
NZ_CP054417.1	AB79	unnamed1	SAMN15097904	Acinetobacter baumannii
NZ_CP054561.1	YC103	pYC103-1	SAMN15182649	Acinetobacter baumannii
NZ_CP058730.1	M164-3	pM164-3.1	SAMN15438232	Acinetobacter baumannii
NZ_CP058731.1	M164-3	pM164-3.2	SAMN15438232	Acinetobacter baumannii
NZ_CP059475.1	M175-3	pM175-3.1	SAMN15589941	Acinetobacter baumannii
NZ_CP059476.1	M175-3	pM175-3.2	SAMN15589941	Acinetobacter baumannii
NZ_CP065052.1	2016GDAB1	p5637	SAMN16714580	Acinetobacter baumannii
NZ_CP070359.1	AB5075-VUB-itrA::ISAba13	pAB5075-VUB-itrA_1	SAMN17898088	Acinetobacter baumannii
NZ_CP070360.1	AB5075-VUB-itrA::ISAba13	pAB5075-VUB-itrA_2	SAMN17898088	Acinetobacter baumannii
NZ_CP070361.1	AB5075-VUB-itrA::ISAba13	pAB5075-VUB-itrA_3	SAMN17898088	Acinetobacter baumannii
NZ_CP076802.1	UC25604	p1UC25604	SAMN19356555	Acinetobacter baumannii
NZ_CP076803.1	UC25604	p2UC25604	SAMN19356555	Acinetobacter baumannii
NZ_CP076805.1	UC24371	p1UC24371	SAMN19356554	Acinetobacter baumannii
NZ_CP076806.1	UC24371	p2UC24371	SAMN19356554	Acinetobacter baumannii
NZ_CP076808.1	UC20804	p1UC20804	SAMN19356540	Acinetobacter baumannii
NZ_CP076809.1	UC20804	p2UC20804	SAMN19356540	Acinetobacter baumannii
NZ_CP076810.1	UC20804	p3UC20804	SAMN19356540	Acinetobacter baumannii
NZ_CP076811.1	UC20804	p4UC20804	SAMN19356540	Acinetobacter baumannii
NZ_CP076813.1	UC23022	p1UC23022	SAMN19356535	Acinetobacter baumannii
NZ_CP076815.1	UC21460	p1UC21460	SAMN19356533	Acinetobacter baumannii
NZ_CP076816.1	UC21460	p2UC21460	SAMN19356533	Acinetobacter baumannii
NZ_CP076818.1	UC24137	p1UC24137	SAMN19356530	Acinetobacter baumannii
NZ_CP076819.1	UC24137	p2UC24137	SAMN19356530	Acinetobacter baumannii
NZ_CP076820.1	UC24137	p3UC24137	SAMN19356530	Acinetobacter baumannii
NZ_CP076822.1	UC22850	p1UC22850	SAMN19356522	Acinetobacter baumannii
NZ_CP077827.1	DETAB-E108	pDETAB12	SAMN19762585	Acinetobacter baumannii
NZ_CP077829.1	DETAB-E351	pDETAB11	SAMN19762827	Acinetobacter baumannii
NZ_CP077831.1	DETAB-E51	pDETAB9b	SAMN19762528	Acinetobacter baumannii
NZ_CP077833.1	DETAB-P43	pDETAB7d	SAMN19774606	Acinetobacter baumannii
NZ_CP077834.1	DETAB-P43	pDETAB10	SAMN19774606	Acinetobacter baumannii
NZ_CP077836.1	DETAB-P65	pDETAB7b	SAMN19774628	Acinetobacter baumannii
NZ_CP077838.1	DETAB-E159	pDETAB7a	SAMN19762636	Acinetobacter baumannii
NZ_CP077839.1	DETAB-E159	pDETAB10	SAMN19762636	Acinetobacter baumannii
NZ_CP077841.1	DETAB-P90	pDETAB16	SAMN19774653	Acinetobacter baumannii
NZ_CP077842.1	DETAB-P90	pDETAB9a	SAMN19774653	Acinetobacter baumannii
NZ_CP077844.1	DETAB-E155	pDETAB14	SAMN19762632	Acinetobacter baumannii
NZ_CP077845.1	DETAB-E155	pDETAB9a	SAMN19762632	Acinetobacter baumannii
NZ_CP077847.1	DETAB-P24	pDETAB8	SAMN19774588	Acinetobacter baumannii
NZ_CP077848.1	DETAB-P24	pDETAB10	SAMN19774588	Acinetobacter baumannii
NZ_CP087299.1	OC070	p1OC070	SAMN23078463	Acinetobacter baumannii
NZ_CP087301.1	OC061	p1OC061	SAMN23078462	Acinetobacter baumannii
NZ_CP087302.1	OC061	p2OC061	SAMN23078462	Acinetobacter baumannii
NZ_CP087303.1	OC061	p3OC061	SAMN23078462	Acinetobacter baumannii
NZ_CP087306.1	OC081	p1OC081	SAMN23078461	Acinetobacter baumannii
NZ_CP087307.1	OC081	p2OC081	SAMN23078461	Acinetobacter baumannii
NZ_CP087310.1	OC068	p1OC068	SAMN23078460	Acinetobacter baumannii
NZ_CP087311.1	OC068	p2OC068	SAMN23078460	Acinetobacter baumannii
NZ_CP087313.1	OC059	p1OC059	SAMN23078459	Acinetobacter baumannii
NZ_CP087314.1	OC059	p2OC059	SAMN23078459	Acinetobacter baumannii
NZ_CP087315.1	OC059	p3OC059	SAMN23078459	Acinetobacter baumannii
NZ_CP087316.1	OC059	p4OC059	SAMN23078459	Acinetobacter baumannii
NZ_CP087319.1	OC064	p1OC064	SAMN23078458	Acinetobacter baumannii
NZ_CP087326.1	OC073	p1OC073	SAMN23078455	Acinetobacter baumannii
NZ_CP087327.1	OC073	p2OC073	SAMN23078455	Acinetobacter baumannii
NZ_CP087329.1	OC074	p1OC074	SAMN23078453	Acinetobacter baumannii
NZ_CP087330.1	OC074	p2OC074	SAMN23078453	Acinetobacter baumannii
NZ_CP087332.1	LMG994	p1LMG994	SAMN23078452	Acinetobacter baumannii
NZ_CP087333.1	LMG994	p2LMG994	SAMN23078452	Acinetobacter baumannii
NZ_CP087334.1	LMG994	p3LMG994	SAMN23078452	Acinetobacter baumannii
NZ_CP087336.1	DB053	p1DB053	SAMN23078451	Acinetobacter baumannii
NZ_CP087337.1	DB053	p2DB053	SAMN23078451	Acinetobacter baumannii
NZ_CP087338.1	DB053	p3DB053	SAMN23078451	Acinetobacter baumannii
NZ_CP087339.1	DB053	p4DB053	SAMN23078451	Acinetobacter baumannii
NZ_CP087342.1	DB008	p1DB008	SAMN23078450	Acinetobacter baumannii
NZ_CP087343.1	DB008	p2DB008	SAMN23078450	Acinetobacter baumannii
NZ_CP087345.1	DB007	p1DB007	SAMN23078449	Acinetobacter baumannii
NZ_CP087346.1	DB007	p2DB007	SAMN23078449	Acinetobacter baumannii
NZ_CP087349.1	DB006	p1DB006	SAMN23078448	Acinetobacter baumannii
NZ_CP087350.1	DB006	p2DB006	SAMN23078448	Acinetobacter baumannii
NZ_CP087352.1	DB003	p1DB003	SAMN23078445	Acinetobacter baumannii
NZ_CP087353.1	DB003	p2DB003	SAMN23078445	Acinetobacter baumannii
NZ_CP087355.1	DB002	p1DB002	SAMN23078444	Acinetobacter baumannii
NZ_CP087356.1	DB002	p2DB002	SAMN23078444	Acinetobacter baumannii
NZ_CP088896.1	DETAB-R21	pDETABR21-1	SAMN23553142	Acinetobacter baumannii
NZ_CP088897.1	DETAB-R21	pDETABR21-2	SAMN23553142	Acinetobacter baumannii
NZ_CP088898.1	DETAB-R21	pDETABR21-3	SAMN23553142	Acinetobacter baumannii
NZ_CP088899.1	DETAB-R21	pDETABR21-4	SAMN23553142	Acinetobacter baumannii
NZ_CP088900.1	DETAB-R21	pDETABR21-5	SAMN23553142	Acinetobacter baumannii
NZ_CP090183.1	AB1343	pAB1343	SAMN24425237	Acinetobacter baumannii
NZ_CP091329.1	BM2333	p1	SAMN25185246	Acinetobacter baumannii
NZ_CP091466.1	NCCP	unnamed	SAMN25236223	Acinetobacter baumannii
NZ_CP091595.1	Nord4-2	pR32_2	SAMN25263435	Acinetobacter baumannii
NZ_CP091597.1	Nord4-2	pR32_3	SAMN25263435	Acinetobacter baumannii
NZ_CP091598.1	Nord4-2	pR32_1	SAMN25263435	Acinetobacter baumannii
NZ_CP092029.1	AbCTX5	pAbCTX5	SAMN15501055	Acinetobacter baumannii
NZ_CP092030.1	AbCTX9	pAbCTX9	SAMN15501056	Acinetobacter baumannii
NZ_CP092486.1	AB2877	pAB2877	SAMN26082895	Acinetobacter baumannii
NZ_CP094284.1	NY5301	pNY5301-1	SAMN26814682	Acinetobacter baumannii
NZ_CP094285.1	NY5301	pNY5301-2	SAMN26814682	Acinetobacter baumannii
NZ_CP094286.1	NY5301	pNY5301-3	SAMN26814682	Acinetobacter baumannii
NZ_CP094287.1	NY5301	pNY5301-4	SAMN26814682	Acinetobacter baumannii
NZ_CP095092.1	AB4451	pAB4451	SAMN27303889	Acinetobacter baumannii
NZ_CP096683.1	5955	p5955	SAMN24114687	Acinetobacter baumannii
NZ_CP096685.1	5847	p5847	SAMN24114686	Acinetobacter baumannii
NZ_CP096687.1	5846	p5846	SAMN24114685	Acinetobacter baumannii
NZ_CP096689.1	5840	p5840	SAMN24114684	Acinetobacter baumannii
NZ_CP096691.1	5839	p5839	SAMN24114683	Acinetobacter baumannii
NZ_CP096694.1	5773	p5773_1	SAMN24114679	Acinetobacter baumannii
NZ_CP096695.1	5773	p5773_2	SAMN24114679	Acinetobacter baumannii
NZ_CP096697.1	5771	p5771	SAMN24114678	Acinetobacter baumannii
NZ_CP096699.1	5769	p5769	SAMN24114677	Acinetobacter baumannii
NZ_CP096701.1	5768	p5768	SAMN24114676	Acinetobacter baumannii
NZ_CP096703.1	5767	p5767	SAMN24114675	Acinetobacter baumannii
NZ_CP096706.1	5761	p5761	SAMN24114673	Acinetobacter baumannii
NZ_CP096708.1	5760	p5760_1	SAMN24114672	Acinetobacter baumannii
NZ_CP096709.1	5760	p5760_2	SAMN24114672	Acinetobacter baumannii
NZ_CP096711.1	5759	p5759_1	SAMN24114671	Acinetobacter baumannii
NZ_CP096712.1	5759	p5759_2	SAMN24114671	Acinetobacter baumannii
NZ_CP096713.1	5759	p5759_3	SAMN24114671	Acinetobacter baumannii
NZ_CP096715.1	5745	p5745_1	SAMN24114670	Acinetobacter baumannii
NZ_CP096716.1	5745	p5745_2	SAMN24114670	Acinetobacter baumannii
NZ_CP096718.1	5741	p5741_1	SAMN24114669	Acinetobacter baumannii
NZ_CP096719.1	5741	p5741_2	SAMN24114669	Acinetobacter baumannii
NZ_CP096721.1	5740	p5740	SAMN24114668	Acinetobacter baumannii
NZ_CP096723.1	5736	p5736	SAMN24114667	Acinetobacter baumannii
NZ_CP096725.1	5734	p5734_1	SAMN24114666	Acinetobacter baumannii
NZ_CP096726.1	5734	p5734_2	SAMN24114666	Acinetobacter baumannii
NZ_CP096728.1	5732	p5732	SAMN24114665	Acinetobacter baumannii
NZ_CP096730.1	5729	p5729	SAMN24114664	Acinetobacter baumannii
NZ_CP096732.1	5689	p5689_1	SAMN24114663	Acinetobacter baumannii
NZ_CP096733.1	5689	p5689_2	SAMN24114663	Acinetobacter baumannii
NZ_CP096736.1	5683	p5683_1	SAMN24114661	Acinetobacter baumannii
NZ_CP096737.1	5683	p5683_2	SAMN24114661	Acinetobacter baumannii
NZ_CP096739.1	5679	p5679	SAMN24114660	Acinetobacter baumannii
NZ_CP096741.1	5672	p5672	SAMN24114658	Acinetobacter baumannii
NZ_CP096743.1	5671	p5671_1	SAMN24114657	Acinetobacter baumannii
NZ_CP096744.1	5671	p5671_2	SAMN24114657	Acinetobacter baumannii
NZ_CP096746.1	5670	p5670	SAMN24114656	Acinetobacter baumannii
NZ_CP096748.1	5669	p5669	SAMN24114655	Acinetobacter baumannii
NZ_CP096750.1	5666	p5666_1	SAMN24114654	Acinetobacter baumannii
NZ_CP096751.1	5666	p5666_2	SAMN24114654	Acinetobacter baumannii
NZ_CP096752.1	5666	p5666_3	SAMN24114654	Acinetobacter baumannii
NZ_CP096754.1	5664	p5664	SAMN24114652	Acinetobacter baumannii
NZ_CP096756.1	5663	p5663	SAMN24114651	Acinetobacter baumannii
NZ_CP096758.1	5656	p5656	SAMN24114649	Acinetobacter baumannii
NZ_CP096760.1	5653	p5653_1	SAMN24114648	Acinetobacter baumannii
NZ_CP096761.1	5653	p5653_2	SAMN24114648	Acinetobacter baumannii
NZ_CP096763.1	5651	p5651	SAMN24114647	Acinetobacter baumannii
NZ_CP096765.1	5634	p5634	SAMN24114646	Acinetobacter baumannii
NZ_CP096767.1	5626	p5626	SAMN24114645	Acinetobacter baumannii
NZ_CP096769.1	5388	p5388_1	SAMN24114644	Acinetobacter baumannii
NZ_CP096770.1	5388	p5388_2	SAMN24114644	Acinetobacter baumannii
NZ_CP098522.1	Cl107	pCl107	SAMN28871714	Acinetobacter baumannii
NZ_CP098792.1	280820	p1VB280820	SAMN28980502	Acinetobacter baumannii
NZ_CP098793.1	280820	p2VB280820	SAMN28980502	Acinetobacter baumannii
NZ_CP098794.1	280820	p3VB280820	SAMN28980502	Acinetobacter baumannii
NZ_CP098796.1	VB280821	p1VB280821	SAMN28981486	Acinetobacter baumannii
NZ_CP098797.1	VB280821	p2VB280821	SAMN28981486	Acinetobacter baumannii
NZ_CP098798.1	VB280821	p3VB280821	SAMN28981486	Acinetobacter baumannii
NZ_CP098799.1	VB280821	p4VB280821	SAMN28981486	Acinetobacter baumannii
NZ_CP098800.1	VB280821	p5VB280821	SAMN28981486	Acinetobacter baumannii
NZ_CP100306.1	KBN10P05679	unnamed1	SAMN29388303	Acinetobacter baumannii
NZ_CP100307.1	KBN10P05679	unnamed2	SAMN29388303	Acinetobacter baumannii
NZ_CP102832.1	AB3927	pAB3927	SAMN30308647	Acinetobacter baumannii
NZ_CP103414.1	AB2369	pAB2369-1	SAMN30472217	Acinetobacter baumannii
NZ_CP103415.1	AB2369	pAB2369-2	SAMN30472217	Acinetobacter baumannii
